PROVENIENZA	id	MISURA_FRAMMENTO	FRAMMENTO	chiusi	K	Ca	Ti	Cr	Mn	Fe	Zn	Rb	Sr	somma	valutazione	confidence	perRepVal	perRepConf	NeuralNet	NearestNeighbors	SVC	DecisionTree	RandomForest	NaiveBayes
0	6.4/v5b	4	6	v5b	19,6629213483146	29,8202247191011	4,98876404494382	,561797752808989	1,37078651685393	43,1685393258427	,157303370786517	,0898876404494382	,179775280898876	100	0	1	" "	" "	0	0	0	0	0	0
0	7.1/v6a	1	7	v6a	21,6025291616701	29,7786983538646	4,07572949598459	,436062356917039	2,66724808314256	41,1155928631128	,16352338384389	,0755841418656201	,0850321595988226	100	0	1	0	1	0	0	0	0	0	0
0	7.2/v6b	2	7	v6b	25,1176600241154	21,3544840462083	4,17676878994931	,624927070232986	2,92108026812224	45,4433481569838	,197072437085921	,0829778682467036	,0816813390553488	100	0	1	" "	" "	0	0	0	0	0	0
0	7.3/v6a	3	7	v6a	21,2689969604863	30,0227963525836	4,6048632218845	,40273556231003	2,82674772036474	40,4331306990882	,227963525835866	,0987841945288754	,113981762917933	100	0	1	" "	" "	0	0	0	0	0	0
0	7.4/v6b	4	7	v6b	25,3471196454948	22,4224519940916	4,54948301329394	,709010339734121	2,92466765140325	43,6041358936484	,236336779911374	,103397341211226	,103397341211226	100	0	1	" "	" "	0	0	0	0	0	0
0	8.1/A10-3bis	1	8	A10-3bis	23,9857456140351	40,1315789473684	3,23464912280702	,603070175438596	,822368421052632	30,8388157894737	,0822368421052632	,109649122807018	,191885964912281	100	0	,666666666666667	0	,75	0	1	1	0	0	0
0	8.2/_2	2	8	_2	24,5842926579688	40,7265285239192	3,35124072652852	,588385776413405	,920951650038373	29,3681248401126	,0767459708365311	,127909951394219	,255819902788437	100	0	,833333333333333	" "	" "	0	1	0	0	0	0
0	9.1/c258-12	1	9	c258-12	31,0063694267516	8,45859872611465	5,29936305732484	,89171974522293	1,94904458598726	52,1019108280255	,089171974522293	,101910828025478	,101910828025478	100	0	1	0	1	0	0	0	0	0	0
0	9.2/_1	2	9	_1	31,0793423874196	8,17726947819871	4,96068620443174	,886347390993567	1,94424588992137	52,6518942101501	,100071479628306	,100071479628306	,100071479628306	100	0	1	" "	" "	0	0	0	0	0	0
1	1.1/3_73a	1	101	3_73a	23,2830070803832	38,4959391920033	2,93783840066639	,338921282798834	,845481049562682	33,8426697209496	,125468554768846	,0426905456059975	,0879841732611412	100	1	1	1	1	1	1	1	1	1	1
1	1.2/3_73c(retro)	2	101	3_73c(retro)	22,4875685426261	44,4539337680685	2,95561391046158	,356780831211538	,672056957226209	28,8401829399698	,0814130755784718	,0470918770502925	,105358097807434	100	1	1	" "	" "	1	1	1	1	1	1
1	1.3/3_73c	3	101	3_73c	24,7752520708797	42,8403873194853	2,71696755233011	,286557774712276	,709063889055492	28,4498557214925	,0886329861319365	,0513138340763843	,0819688518363022	100	1	1	" "	" "	1	1	1	1	1	1
